course1,course2,course3,count
0,1,2,77
0,1,6,1
0,1,9,1
0,1,14,13
0,1,15,2
0,1,17,1
0,1,27,1
0,1,29,1
0,1,30,1
0,1,36,1
0,1,48,5
0,1,49,1
0,1,54,1
0,1,60,2
0,1,68,1
0,1,73,1
0,1,75,1
0,1,92,1
0,1,108,1
0,1,118,2
0,1,136,2
0,1,141,1
0,1,192,1
0,1,198,2
0,1,199,1
0,2,3,77
0,2,5,1
0,2,8,1
0,2,9,2
0,2,10,63
0,2,12,21
0,2,13,39
0,2,14,39
0,2,15,18
0,2,17,2
0,2,26,2
0,2,27,1
0,2,29,1
0,2,30,3
0,2,42,1
0,2,47,22
0,2,48,22
0,2,49,21
0,2,58,1
0,2,59,1
0,2,60,4
0,2,68,6
0,2,73,5
0,2,74,15
0,2,79,1
0,2,84,1
0,2,86,1
0,2,87,1
0,2,88,1
0,2,94,5
0,2,99,1
0,2,106,10
0,2,111,2
0,2,116,1
0,2,118,2
0,2,127,1
0,2,129,1
0,2,131,1
0,2,137,1
0,2,138,1
0,2,147,2
0,2,149,1
0,2,154,2
0,2,155,1
0,2,157,1
0,2,163,5
0,2,164,4
0,2,175,1
0,2,182,5
0,2,193,1
0,2,195,1
0,2,198,1
0,3,13,1
0,3,14,11
0,3,15,5
0,3,26,1
0,3,30,1
0,3,34,1
0,3,42,3
0,3,47,2
0,3,48,6
0,3,53,1
0,3,60,1
0,3,68,1
0,3,70,1
0,3,74,2
0,3,86,1
0,3,93,1
0,3,94,1
0,3,106,3
0,3,116,1
0,3,132,1
0,3,163,1
0,3,169,1
0,3,171,1
0,3,174,1
0,3,182,1
0,4,7,1
0,4,10,2
0,4,17,1
0,4,34,1
0,4,42,1
0,4,49,1
0,4,61,1
0,4,63,1
0,4,69,1
0,4,78,1
0,4,86,1
0,4,89,1
0,4,94,1
0,4,111,1
0,4,112,1
0,4,129,1
0,4,130,1
0,4,132,1
0,4,134,1
0,4,169,1
0,4,170,1
0,4,171,1
0,4,172,1
0,4,175,1
0,4,178,1
0,4,189,1
0,5,16,1
0,5,28,1
0,5,32,1
0,5,34,1
0,5,38,1
0,5,54,1
0,5,55,1
0,5,63,1
0,5,76,1
0,5,79,1
0,5,126,1
0,5,130,1
0,5,159,1
0,5,161,1
0,5,166,1
0,5,168,1
0,5,184,1
0,5,188,1
0,5,192,1
0,5,197,1
0,6,75,1
0,6,94,1
0,6,101,1
0,6,102,1
0,6,118,1
0,6,126,1
0,6,153,2
0,7,25,1
0,7,33,1
0,7,65,1
0,7,66,1
0,7,67,1
0,7,85,1
0,7,96,1
0,7,103,1
0,7,110,1
0,7,135,1
0,7,138,1
0,7,166,1
0,7,185,2
0,8,14,1
0,8,29,1
0,8,31,1
0,8,38,1
0,8,53,1
0,8,56,1
0,8,58,2
0,8,86,1
0,8,88,1
0,8,95,1
0,8,105,1
0,8,119,1
0,8,155,1
0,8,159,1
0,8,166,1
0,8,174,1
0,9,10,2
0,9,11,1
0,9,34,1
0,9,45,1
0,9,46,1
0,9,49,1
0,9,81,1
0,9,124,1
0,9,133,1
0,9,164,1
0,9,174,1
0,9,178,1
0,10,12,20
0,10,13,6
0,10,14,4
0,10,15,1
0,10,26,1
0,10,30,1
0,10,47,9
0,10,48,8
0,10,49,1
0,10,59,3
0,10,60,2
0,10,63,1
0,10,68,1
0,10,71,1
0,10,73,2
0,10,74,3
0,10,82,1
0,10,86,2
0,10,89,1
0,10,90,1
0,10,94,2
0,10,98,1
0,10,104,1
0,10,110,1
0,10,118,4
0,10,123,2
0,10,128,1
0,10,130,1
0,10,135,1
0,10,150,1
0,10,154,3
0,10,155,1
0,10,158,1
0,10,163,2
0,10,164,1
0,10,174,4
0,10,182,3
0,10,195,1
0,11,19,1
0,11,30,1
0,11,61,1
0,11,63,1
0,11,79,1
0,11,99,1
0,11,106,1
0,11,114,1
0,11,119,1
0,11,128,1
0,11,131,1
0,11,142,1
0,11,167,1
0,11,175,1
0,11,176,1
0,11,183,1
0,11,189,1
0,11,190,1
0,12,13,1
0,12,14,2
0,12,20,1
0,12,37,1
0,12,45,1
0,12,47,3
0,12,48,1
0,12,49,7
0,12,52,1
0,12,57,1
0,12,68,1
0,12,74,3
0,12,86,2
0,12,94,1
0,12,107,1
0,12,108,1
0,12,118,2
0,12,122,1
0,12,138,1
0,12,150,1
0,12,155,1
0,12,163,2
0,12,164,1
0,12,173,1
0,12,174,1
0,12,178,1
0,12,199,2
0,13,14,5
0,13,16,1
0,13,19,1
0,13,26,1
0,13,30,1
0,13,39,1
0,13,54,1
0,13,55,3
0,13,59,1
0,13,73,3
0,13,74,1
0,13,83,1
0,13,87,1
0,13,89,1
0,13,92,1
0,13,94,2
0,13,109,1
0,13,116,2
0,13,120,1
0,13,134,2
0,13,137,1
0,13,147,1
0,13,163,3
0,13,164,1
0,13,178,1
0,13,182,1
0,13,196,1
0,14,15,8
0,14,17,1
0,14,30,2
0,14,42,1
0,14,47,1
0,14,48,3
0,14,49,1
0,14,56,1
0,14,59,1
0,14,60,1
0,14,68,1
0,14,72,1
0,14,73,8
0,14,78,1
0,14,92,1
0,14,94,2
0,14,107,1
0,14,111,1
0,14,113,1
0,14,121,1
0,14,147,1
0,14,151,1
0,14,155,1
0,14,167,1
0,14,178,1
0,14,184,1
0,14,198,1
0,15,27,2
0,15,29,1
0,15,30,1
0,15,33,1
0,15,47,1
0,15,49,1
0,15,50,1
0,15,91,1
0,15,115,1
0,15,142,1
0,15,172,1
0,15,196,1
0,16,33,1
0,16,35,1
0,16,41,1
0,16,70,1
0,16,72,1
0,16,85,1
0,16,94,1
0,16,95,1
0,16,97,1
0,16,107,1
0,16,109,1
0,16,138,1
0,16,141,1
0,16,167,1
0,17,21,1
0,17,28,1
0,17,48,1
0,17,58,1
0,17,62,1
0,17,85,1
0,17,94,1
0,17,123,1
0,17,147,1
0,17,154,1
0,17,155,1
0,17,166,1
0,17,199,1
0,18,20,1
0,18,32,1
0,18,49,1
0,18,63,1
0,18,68,1
0,18,77,1
0,18,78,1
0,18,84,1
0,18,97,1
0,18,115,1
0,18,117,1
0,18,130,1
0,18,136,1
0,18,143,1
0,18,147,1
0,18,158,1
0,18,175,1
0,19,29,1
0,19,59,1
0,19,84,1
0,19,97,1
0,19,100,1
0,19,108,1
0,19,113,1
0,19,134,1
0,19,137,1
0,19,150,1
0,19,153,1
0,19,155,1
0,19,167,1
0,19,170,1
0,19,171,1
0,19,194,1
0,20,41,1
0,20,55,1
0,20,56,1
0,20,70,2
0,20,95,1
0,20,101,1
0,20,128,1
0,20,142,1
0,20,158,2
0,20,162,1
0,20,178,1
0,20,179,1
0,20,196,1
0,20,198,1
0,21,23,1
0,21,24,1
0,21,47,1
0,21,83,1
0,21,88,1
0,21,105,1
0,21,133,1
0,21,152,1
0,21,163,2
0,21,195,1
0,21,199,1
0,22,56,1
0,22,63,1
0,22,79,1
0,22,95,1
0,22,102,1
0,22,104,1
0,22,116,1
0,22,123,1
0,22,125,1
0,22,130,1
0,22,133,1
0,22,158,1
0,22,180,1
0,22,185,1
0,22,188,1
0,23,28,1
0,23,54,1
0,23,56,1
0,23,70,1
0,23,74,2
0,23,81,1
0,23,100,1
0,23,112,1
0,23,141,1
0,23,162,1
0,23,167,1
0,23,168,1
0,24,41,1
0,24,42,1
0,24,53,1
0,24,58,1
0,24,65,1
0,24,70,1
0,24,74,1
0,24,103,1
0,24,128,1
0,24,135,1
0,24,144,1
0,24,150,1
